content_cleaned,score,thumbsUpCount,content_length,word_count,has_reply,sentiment,sentiment_encoded
min apakah bisa buat rekening baru di aplikasi tanpa harus ke kantor dan kartu fisik nya dikirim ke alamat,5,0,106,19,1,Netral,1
pengembalian saldo harus nungu hari dikira nyari duit gampang,1,0,61,9,1,Netral,1
pinnya ke blokir pas mau di benerin gabisa mulu uda nanya ke adminnya pas bilng tetep gabisa ga di respon dahlah mana ada saldonya ribet mending buka rek baru ganti ke sebelah aja,1,0,179,33,1,Negatif,0
aplikasi sampah ngga berguna,1,0,28,4,1,Negatif,0
kenapa tiba tiba tidak bisa kirim dan terima uang ya apakah ada pembekuan,1,0,73,13,1,Negatif,0
ini bca gangguan terus gak pke lama sehariaannn langsung smpai detik ini selaluuu oppp terjadi kesalahan kesalahannn apa saya mau transaksi jadi sulitt banget lama saya ganti bank jugaa kmarin pak suami malah ke blokir gak jelas gara opp terjadi kesalahan apa yg salah tolong perbaiki palikasinyaa jgn menghambat pengguna lama saya copot juga ini aplikasi,1,3,355,56,1,Negatif,0
tampilan sudah modern tapi sayangnya belum ada fitur alokasi dana padahal zaman skrg alokasi dana itu sangat dibutuhkan mengingat skrg banyak orang mulai disiplin keuangan karena cari duit susah mudahan ke depannya ada fitur alokasi dana sampai bisa dibagi hingga wallet minimal,4,0,278,42,1,Positif,2
asu kenapa saya g bisa masuk masuk setelah di update malah gagal di ferivikasi wajah,1,0,84,15,1,Negatif,0
notifikasi selalu muncul lebih membantu,5,0,39,5,1,Positif,2
lahh kok gk adaa kode negara indo sih anying,1,0,44,9,1,Negatif,0
sangat cocok digunakan bagi mereka yang sudah menjadi nasabah,5,0,61,9,1,Positif,2
ferry nice,5,0,10,2,1,Positif,2
kkka,5,0,4,1,1,Positif,2
mantap,5,0,6,1,1,Positif,2
mau verifikasi wajah tidak bisa selalu muncul popup must use real device tapi pakai bca mobile bisa tolong diperbaiki baru saya tambahkan bintang ny,1,0,148,24,1,Netral,1
mudah cepat praktis,5,0,19,3,1,Positif,2
otp gk masuk masuk dari kmren sudah update terbaru pulsa tersedia koneksi stabil akhirnya tak hapus apknya sampai nunggu bener dulu baru download lagi,1,0,150,24,1,Positif,2
oke good app,5,0,12,3,1,Positif,2
jangan cetak kartu lewat aplikasi pembohongan kartu tidak dikirim buang waktu dan duit cs aplikasi juga gk guna liat progres cetak kartu gk bisa kocak mending cetak kartu langsung ke cabang terdekat disana lebih ramah dan masalah selesai,1,0,237,38,1,Negatif,0
sy baru pertama kali menggunakan rekening bca versi android mulai hari ini selasa alasannya hidup itu tidak lengkap tanpa memiliki rekening bca walaupun kantor cabang bca belum ada di daerah saya marowi mr,5,0,205,33,1,Netral,1
baru aja dibenerin dikantor cabang bca joyoboyo kediri nyampai rumah my bca ke blokir lagi apa an ini,1,0,101,18,1,Negatif,0
mantab,5,0,6,1,1,Positif,2
mantap,5,0,6,1,1,Positif,2
halo kak admin saya mau masuk ke my bca kok di arahkan ke id bca maksudnya gimana saya gak paham id bca,3,0,103,22,1,Netral,1
kadang error lemot duh gak enak,1,0,31,6,1,Negatif,0
lebih baik dari mbanking bca teruslah berinovasi memberikan yang terbaik,5,0,72,10,1,Positif,2
mau log in kode negara indonesia malah gaada kn jadi bingung sia sia uprage aplikasi malah tambah linglung,1,0,106,18,1,Negatif,0
semakin berat bukanya,1,0,21,3,1,Negatif,0
saya merasa di rugikan dengan kinerja operasional bca yanh selalu memotong saldo tanpa ada kejelasan apapun tibah saja di potong ribu bentar lagi di potong ribu ini bicara tentang hak manusia kok uang kami anda potong se enaknya saja tnpa ada persetujuan dari kami bca sngat tidak menguntungkan,1,0,294,48,1,Negatif,0
my bca pkoknya keren rekomen bgd buat org yg mau nabung atau transaksi via hp keamanan terjamin bgd cs juga cepet bgd responnya trimaksih mybca sukses trus ya,5,0,158,28,1,Positif,2
sangat membantu dan lebih mudah,5,0,31,5,1,Positif,2
ga jelas,1,0,8,2,1,Negatif,0
good,4,0,4,1,1,Positif,2
sangat membantu,5,0,15,2,1,Positif,2
salah satu aplikasi perbankan yg mudah digunakan,4,1,48,7,1,Positif,2
aplikasi mobile banking yang lengkap dan sangat fungsional menyediakan solusi terbaik dan keamanan penggunaan,5,0,109,14,1,Positif,2
sangat baik,5,0,11,2,1,Positif,2
sangat membantu,5,0,15,2,1,Positif,2
terlalu banyak isu jaringan jaringan lancar tapi tidak dapat melakukan transaksi,1,0,80,11,1,Negatif,0
aplikasi nya memang membantu namun kadang lambat dan pengaduan keluhan slow respon lama akan tindak lanjut perbaikan,1,0,116,17,1,Negatif,0
the best bca everything you can,5,0,31,6,1,Positif,2
jadwal tertulis untuk layanan video call saya melakukan video call pada pukul sampai memunggu sekitar menit tidak ada respon sama sekali mungkin masih tidur kah wkwkwkw,1,0,168,26,1,Negatif,0
mantap,5,0,6,1,1,Positif,2
susah sekali cek saldo kartu flazz dengan aplikasi mybca ada delai sekian detik hingga kartu terbaca,5,1,100,16,1,Negatif,0
dalam beberapa hari ini setiap akan bertransaksi baik via transfer atau qris sering muncul notifikasi oops terjadi kesalahan tolong segera diperbaiki,5,0,149,21,1,Netral,1
apa sih gak jelas ni my bca masak ak tf uang ribu di sedot ampe ribu banyak kali gak ad ak transaksi apa tiba di potong bukti transaksi nya aj gak ada,1,0,150,32,1,Negatif,0
tolong lah mybca jgn suka tiba tiba apk nya gk bisa di buka saya susah loh mau transaksi,3,0,88,18,1,Negatif,0
kebanyakan update lama bisa di buka nya jadi susah kalo mau bayar keburu ga jadi transaksi,3,0,90,16,1,Negatif,0
vermuk muka ribet banget sih kontolll,1,0,37,6,1,Negatif,0
hanya saja saat apk ini di tablet dia tidak bisa login tersendat di face recognition,5,1,84,15,1,Netral,1
bismilah sukses bareng mybca,5,0,28,4,1,Positif,2
gada pilihan verifikasi nomor indonesia saya menggunakan esim,1,0,61,8,1,Netral,1
sangat bagus dan tampilanya menarik namun saran untuk kedepanya tambahkan fitur top up e wallet secara langsung hanya dengan nomor hp dong tanpa harus pakai virtual account ayo dong fitur ini di adain,5,59,200,33,1,Positif,2
bikin kesel ih gabisa login aneh apk nya stuck mulu udah tau urgent,1,0,67,13,1,Negatif,0
bagus aplikasinya mudah pakenya tampilannya keren,5,0,49,6,1,Positif,2
sudah hari rekening saya melakukan transaksi tetap dalam proses padahal saldo sudah keambil kecewa nih sama bca,1,0,111,17,1,Negatif,0
saya kecewa baru buka langsung ke logout mau login otp ga kekirim chat cs malah nyalahin provider padahal saya coba sms sendiri masuk pulsa juga cukup semakin kesini ga semakin baik malah downgrade,1,0,197,33,1,Negatif,0
aplikasi apa ini vermuk aja ribett bgtt udah kaya pinjol heran gua mah kaya gini mah najis gua bikin bank bca apalah vermuk nya ke apaan tau ribet bgt pinjol ae ga serumit itu vermuk nya bank lain pun ngga inimah udah agak laen emng lawak,1,0,238,46,1,Negatif,0
ada kendala pas login setelah login pengguna diharuskan memasukkan nomor telepon dengan kode negara tapi entah kenapa kode negara indonesia tidak ada di daftar tersebut padahal malasyia dan singapura ada,2,0,203,30,1,Negatif,0
sering banget disuruh update bikin males karena m banking nya pake hp lama jadi memori full nyusahin kalo harus update terus tiap bulan,2,0,135,23,1,Negatif,0
kenapa ngga ada kode negara indonesia,1,0,37,6,1,Netral,1
gimana saya buka rekening bca gold,5,0,34,6,1,Netral,1
terima kasih bank bca untuk karyawan nya sangat baik pelayanan nya,5,0,66,11,1,Positif,2
sudah normal sudah bagus tidak loading lg,5,0,41,7,1,Positif,2
gangguan terus,1,0,14,2,1,Negatif,0
tidak bisa di gunakan di tablet samsung tolong diperbaiki lagi,2,0,62,10,1,Negatif,0
nyusahin tetep harus ke kantor bca pdahal nasabah lama zaman udah modern harus dateng kbank jadul bet sih,1,0,105,18,1,Negatif,0
bagus aplikasinya,5,0,17,2,1,Positif,2
kode negara tdk ada di bca guys yah ribet nya minta ampun,5,0,57,12,1,Negatif,0
kenapa setiap saya mau masuk apk pasti langsung keluar udah dari bulan kemarin tolong pihak bank di perbaiki sistemnya ya,3,0,121,20,1,Negatif,0
proses tidak dapat dilakukan terus sangat mengganggu dan tidak nyaman tidak seperti bank yang lain,1,0,98,15,1,Negatif,0
update mulu dh apa klo ga ada perubahan juga,1,0,44,9,1,Netral,1
sangat membantu,5,0,15,2,1,Positif,2
tolong hapus data saya karena saya mau login ulang karena semalem tidak berhasil ada kesalahan pas mau di lanjut data anda tidak ditemukan ada tulisan gitu tolong di bantu min,1,0,175,30,1,Netral,1
kenapa ya saya pilih kode indonesia tidak muncul saat masukin nomer hp,5,0,70,12,1,Netral,1
simple dan aman,5,0,15,3,1,Positif,2
aplikasi m bank paling lucu vermuk aja di persulit,1,0,50,9,1,Netral,1
transaksi qris gagal saldo kepotong dan tidak balik sudah jam lebih,1,1,67,11,1,Netral,1
senang menabung di bca apalagi ada merchant nya,5,0,47,8,1,Positif,2
mau siang hari mau latar putih di kasih lampu sama aja bagus loh fast respon,1,0,76,15,1,Positif,2
mempermudah,5,0,11,1,1,Positif,2
agak mempersulit ya karena harus selalu update setiap dipake urgent malah harus update dulu,1,0,91,14,1,Negatif,0
ini kenapa ya saya baru buat akun bank dan langsung isi saldo sebesar k tapi kenapa saldonya cuman ada k doang,1,0,110,21,1,Negatif,0
niat hati ingin buka rekening lewat my bca terus isi saldo pembukaan k tapi ternyata saldo tidak bertambah masih padahal mutasi ada menyesal banget,1,0,147,24,1,Negatif,0
terima kasih aplikasinya sdh banyak peningkatan,5,0,47,6,1,Positif,2
kecewa,1,0,6,1,1,Negatif,0
terjadi kesalahan fingerprnt g bsa mlh jadi ribed,2,0,49,8,1,Negatif,0
ini kenapa ya kok gak bisa di buka aplikasi nya aku kira karena eror ternyata udh hari tetep seperti ini ayo dong dibantu perbaikan,1,0,131,24,1,Negatif,0
sudah x begini bca id tiba tiba keblokir hadehh password pin ga pernah salah koneksi aman keblokir ga jelas,2,0,107,19,1,Netral,1
knapa akhir bca saya nggak bisa d buka padahal sudah d update saya download ulang ttp tidak bisa masuk mohon solusinya,1,0,118,21,1,Negatif,0
ok,5,0,2,1,1,Negatif,0
ribet bgt mo daftar doang dokumen jelas pdhl,1,0,44,8,1,Negatif,0
aku mau es dd cubit nih gitu ddxddxxxxffffffr ws ws zeev vc vg ccg xxxtrfxttxt,3,0,78,15,1,Netral,1
ya masa sih harus update setiap bulan kayak ga penting bgt jgn gitu dong masa mau di update mulu,2,0,96,19,1,Negatif,0
ribet bgt saya transaksi qris ga seberapa trus pending gila udh hari masih di proses aja ga kelar ga jls bgt transaksi ga seberapa di suruh nunggu hr kerja sangat sangat mengecewakankan,1,0,185,32,1,Negatif,0
bt zaman dan juga v d,2,0,21,6,1,Netral,1
barusan daftar id baru juga mau login bisa bisanya langsung ke blokir padahal sdh sesuai,1,1,88,15,1,Netral,1
mintip sikili,5,0,13,2,1,Negatif,0
telpon customer service bca pdahal suara saya ada malah tidak ada tanggapan dan buru buru memutuskan panggilan,5,0,110,17,1,Negatif,0
mudah bermanfaat,5,0,16,2,1,Positif,2
apk gak jelas bodong,1,0,20,4,1,Negatif,0
sangat baik,5,0,11,2,1,Positif,2
min kok aplikasi my bca saay tidak bisa transfer sesama bca dan virtual account mohon solusinya,5,0,95,16,1,Netral,1
kenapa susah login sekarang di apk,1,0,34,6,1,Negatif,0
layanan buruk id keblokir udah telpon ke cs udah di mintain data pendukung tapi blm bisa reset password,1,0,103,18,1,Negatif,0
saldo sudah terpotong tp duit tidak keluar kecewa saya sama bca,1,0,63,11,1,Negatif,0
gak jelas,1,0,9,2,1,Negatif,0
susah dibukanya jaringan full,1,0,29,4,1,Negatif,0
jaringan lancar data sudah benar tapi tetap oops terjadi kesalahan silahkan coba lagi,1,0,85,13,1,Netral,1
sudah selesai tapi pas masuk tidak bisa lanjutkan verifikasi padahal status selesai,1,0,83,12,1,Netral,1
halo hari ni di update begitu masuk minta registrasi ulang ketika no telpon kode negara untuk indonesia tidak ada tolong di perbaiki kembali agar bisa masuk ke dalam aplikasi bikin pusing euy,1,0,191,32,1,Negatif,0
bca id tiba keblokir ketika dibuka blokir harus perbarui pasword tapi si kode otp tidak pernah masuk padahal pulsa ada dan saya menggunakan kartu sim yg pascabayar parah banget bug nya,1,0,184,31,1,Negatif,0
persulit hidup,1,0,14,2,1,Negatif,0
knapa login ke pembuatan id baru susah banget ya,1,0,48,9,1,Negatif,0
udah isi data diri lengkap malah ga bisa terjadi kesalahan tapi ga tau salahnya dimna ini gimna solusinya mau buka rekening baru,1,0,128,22,1,Netral,1
baik,5,0,4,1,1,Positif,2
gajelas malah di blokir id gw udah sampe tahap verifikasi vc cs katanya tinggal di ubah tau taunya di blokir id gw apalah mending make bank lain ajalah bre jangan daftar online di persulit,1,0,188,34,1,Negatif,0
biasanya bagus tapi sekarang tiap daftarain sidik jari nya sllu oops coba lagi padahal jaringan stabil dan hp nya bersih aneh kok jadi jelek gini mybca,3,0,151,26,1,Negatif,0
cashflow pending dari jam malem sampe jam siang emang wajar ya,1,0,62,11,1,Negatif,0
maaf saya kasi bintang satu dlu emang nya aplikasi bca skrg harus terus di update yah kan kesian sama yg memori hp nya penuh kalo terus an harus di update gtu padahal bca dlu gak kaya gini tolong di perbaiki lagi,1,0,212,41,1,Negatif,0
klo mybca oke klo bca mobile no,5,0,31,7,1,Netral,1
admin sy baru masuk k aplikasi mau masukkan no hape tapi no negara indonesia g da hadehhhh ada ada j tolong secepatnya perbaiki fitur y,2,0,135,25,1,Negatif,0
aplikasi bank terbaik,5,0,21,3,1,Positif,2
gimna si cek paylter bca tolong bantu dong,3,0,42,8,1,Netral,1
semakin mudah,5,0,13,2,1,Positif,2
ini aplikasi banyak banget problem nya sih kemarin bca id terblokir sekarang pas udah ke buka dikit dikit minta verifikasi ribet amat sih,1,0,137,23,1,Negatif,0
brooo ini kenapa ya pmbayaran cicilan cuma ada oto dan acc fifnya gak ada lgsg masukin dibpencarian jg tdk terdaftar,1,0,116,20,1,Negatif,0
good,5,0,4,1,1,Positif,2
coba mau login buat apa kalau code negara aja gak muncul atau tidak ditemukan,2,0,77,14,1,Negatif,0
saat reset pin my bca nungguin kode otp yg terkirim jam lebih itupum langsung kode sekaligus padahal dari tadi ditunggu hingga berkali kirim kode ulang untuk verifikasi selanjutnya,2,0,180,28,1,Negatif,0
aplikasi jelek lama kirim kode otp giliran masuk malah ga valid,1,0,63,11,1,Negatif,0
m banking paling busuk verivikasi ga berhasil,5,0,45,7,1,Negatif,0
sangat seneng banget punya atm bca,5,0,34,6,1,Positif,2
mending pakai brimo guys,1,0,24,4,1,Netral,1
beberapaha hri terahir slalu ops slah sya kn jdi gk bisa melakukan transaksi apapun menghambat sgalanya,1,0,103,16,1,Negatif,0
mau reset password gak bisa harus hubungi cs tapi ketika hubungi cs tetap aja tidak menemukan solusi aplikasi reset password di aplikasi tetap harus hubungi cs terlebih dahulu,1,0,175,28,1,Negatif,0
tiap mau transaksi harus update terus jadi ngga nyaman,2,0,54,9,1,Negatif,0
minta kode verifikasi aja lama bgt,1,0,34,6,1,Negatif,0
aplikasi kayak taik tolol bikin aplikasi mau kirim uang susah betul jaringan bagus semua bagus setiap mau kirim uang tulisannya ooopps ada kesalahan melulu tolol betul,1,0,167,26,1,Negatif,0
tolong di perbaiki untuk membuka aplikasi ini kadang suka lambat tolong lebih di ringankan lagi untuk kapasitas login scan qris dsb,1,0,131,21,1,Negatif,0
bagusss,5,0,7,1,1,Positif,2
ok,5,0,2,1,1,Negatif,0
sudah lama pakai mybca dan nyaman ui nya juga banyak fitur tapi akhir akhir ini seringkali akun terblokir tiba tiba entah apa sebabnya padahal login biometric dan password sudah benar mohon diperbaiki lagi problem dan bug di aplikasi ini,1,126,237,39,1,Negatif,0
bad banget sorry,1,0,16,3,1,Negatif,0
registrasinya gak ok loadiang nya sejam parah sayang bahan dah,5,0,62,10,1,Negatif,0
saya disuruh pilih kode negara tapi kode negara indonesia kok nggak ada ya,1,0,74,13,1,Netral,1
sangat baik dan sangat membantu,5,0,31,5,1,Positif,2
saya sudah daftar dan sudah sukses saat login sudah masukan id dan pass nya malah register ulang terus saya sudah kali masih sama seperti itu pulsa ada sim card slot dan sinyal stabil dan bagus,1,0,193,35,1,Negatif,0
tak kasih bintang dulu mau buka rekening proses sudah semua napa ada notifikasi ada kesalahan coba lagi sampai kapan harus coba lagi,1,0,132,22,1,Negatif,0
mau ngajukan kartu kridit ngk bisa dari my bca selalu up ad kesalahan,1,0,69,13,1,Netral,1
mau buka rekening online lamaaa sekali cs kaya ga niat angkat panggilan video kita bank lain ga perlu video call kaya begitu repot banget mending buat seperti bank lain menggunakan verifikasi wajah ga perlu pakai cs pecatin aja cs nya ga becus kerjanya sekelas bank bca cs nya ampas semua,1,0,288,50,1,Negatif,0
apalah tiba keblokir,1,0,20,3,1,Negatif,0
sumpah ya sekalian aja update tiap hari tiap menit heran beberapa minggu gk dibuka langsung butuh updetan,1,0,105,17,1,Negatif,0
saya sangat kecewa dg bca ketika saya telp cs halo bca ditawarin program oleh cs beberapa hari kmudian ada yg telp dari asuransi bank bca bekerjasama dg layanan asuransi yg sangat menggangu ketika melakukan penawaran ke customer alasan telemarketing lah apa lah itu sangat mengganggu tolong reputasi yg sudah bagus bank bca jangan di rusak dengan kerja sama dg asuransi yang sangat menggangu bca kerjasama dg aia atau apalah itu,1,0,428,70,1,Negatif,0
awalnya tidak ada kendala dalam pembayaran menggunakan qris tapi sekarang saya gagal terus dalam pembayaran menggunakan qris merepotkan,1,0,135,18,1,Negatif,0
mantap,5,0,6,1,1,Positif,2
masukan untuk mutasi sebaiknya dapat di zoom karena untuk usia tertentu kurang jelas atau terlalu kecil tulisan nya,5,0,115,18,1,Netral,1
ok,5,0,2,1,1,Negatif,0
mantap,5,0,6,1,1,Positif,2
sangat membantu,5,0,15,2,1,Positif,2
ok,5,0,2,1,1,Negatif,0
sangat keren,5,0,12,2,1,Positif,2
bes,5,0,3,1,1,Positif,2
tidak sekalipun gatcha gebyar bca,1,0,33,5,1,Netral,1
bagus,5,0,5,1,1,Positif,2
baik,5,0,4,1,1,Positif,2
aplikasi jelek verif muka berkali kali ga berhasil akhirnya ngurus ke halo bca lama pemgurusannya,1,0,97,15,1,Negatif,0
sangat baik dan mudah terimakasih,5,0,33,5,1,Positif,2
nice,4,0,4,1,1,Positif,2
saya mau login terjadi kesalahan mulu padahal sinyal bagus pw no id benar,2,0,73,13,1,Negatif,0
gangguan sinyal mulu mohon di cari sumber masalah nya kalau mau maintance jam malam lah jgn sore hari,2,0,101,18,1,Negatif,0
mantap,5,0,6,1,1,Positif,2
baru instal,4,0,11,2,1,Negatif,0
tibatiba logout dibuka lagi force close trus aplikasinya seharian ini cachenya udah dibersihin tapi tetep force close,2,0,117,17,1,Negatif,0
ini apa lagi internet lancar tapi di aplikasi masih kayak loading tolonglah ini bca aplikasinya dioptimalkan lah,1,0,112,17,1,Negatif,0
lambat proses,3,0,13,2,1,Negatif,0
sering eror tolong kembalikan pelayanan prima khas bca,2,0,54,8,1,Netral,1
mengapa kode negara indonesia tidak ada mau login pake nomer hp cari indonesia gak ada mohon di perbaiki,1,0,104,18,1,Negatif,0
aplikasi mybca sangat praktis dan mudah digunakan fitur fiturnya lengkap bisa mengelola lebih dari satu rekening dan transaksi jadi lebih cepat sangat membantu,5,0,159,23,1,Positif,2
ngirim otp lama banget sekalinya dikirim sudah tidak berlaku fakkkkkk,1,0,69,10,1,Negatif,0
bug force close ketika dibuka di tab samsung s fe untuk biometrik wajah dibuka di web aman lapor halo bca akun aman sudah paling update sudah ikutin arahan menu berhenti paksa hapus data masih saja force close,3,0,209,37,1,Netral,1
layanan bank ini gimana kok gada respon buat aktivasi kartu debit kodenya gk dikirim kirim buat login kode otp juga gk dikirim kirim sehingga saya gk bisa melakukan pembayaran qris pulsa saya sampai habis buat kirim pesan lewat sms dan kode otpnya sudah limit,1,0,259,44,1,Negatif,0
bagus,5,0,5,1,1,Positif,2
customer service sangat fast respon saya chat jam pagi dan masalah saya tertangani setengah jam kemudian,5,0,104,16,1,Positif,2
oke,5,0,3,1,1,Positif,2
sangat membantu,5,0,15,2,1,Positif,2
sangat luar biasa,5,0,17,3,1,Positif,2
saya sangat suka serta bahagia aplikasi ini sungguh sangat membantu saya dalam kehidupan,5,0,88,13,1,Positif,2
kalo u sering ganguan minimal kasih remainder apa kek notif ganguan bgst hari hari duit nyangkut perkara ganguan,1,0,112,18,1,Negatif,0
kenapa kode negara indonesia tidak ada,5,0,38,6,1,Negatif,0
pelayanan kurang memuaskan problem verifikasi wajah dibikin ribett,1,0,66,8,1,Negatif,0
mending mbank bca lebih simple ringan dan minim problem,1,0,55,9,1,Positif,2
sangat membantu,5,0,15,2,1,Positif,2
kemaren aku daftar rekening kata marketing nya akan diselesaikan hari ini tapi sampe sekarang blom ada,1,0,102,16,1,Negatif,0
mau login malah gaada negara indonesia padaal lagi perlu banget,1,0,63,10,1,Negatif,0
aneh nomor telepon bener kode otp ga muncul dari kapan tau,3,0,58,11,1,Negatif,0
harusnya gak ribet pake apk ini sekelas bca kok adm pengelola apk ini bikin jelek semua ditolak apk dibuat untuk mempermudah nasabah ujung ujungnya buka rek baru wajib kekantor,1,0,176,29,1,Negatif,0
bagus matap,5,0,11,2,1,Positif,2
ini kenapa ga bisa di buka ya apkny mental mulu,3,0,47,10,1,Negatif,0
my bca ini tiap dua minggu sekali suruh update update pas lagi urgent buka my bca ada tulisan update kudu tak banting ae,1,0,120,23,1,Netral,1
baik sekali,5,0,11,2,1,Positif,2
super keren pelayanan fasilitas bank bca sangat berbeda dan paling bagus apalagi bca yang ada di jln ciledug kabupaten garut saya sangat bangga menjadi nasabah bca karyawannya dan sop yg ada di dalamnya sangat luar biasa,5,0,220,36,1,Positif,2
vermuk selalu gagal aneh ngeselin bikin emosi aja,1,0,49,8,1,Negatif,0
aneh apk d suruh updet mulu tiap bulan,1,0,38,8,1,Negatif,0
sangat membantu sekali,5,0,22,3,1,Positif,2
terlalu banyak update repot semisal ada kebutuhan mendesak harus update dulu,3,0,76,11,1,Negatif,0
sangat puas,5,0,11,2,1,Positif,2
bca is the best,5,0,15,4,1,Positif,2
top,5,0,3,1,1,Positif,2
aplikasi tolol,1,0,14,2,1,Negatif,0
sangat puas,5,0,11,2,1,Positif,2
bca id saya terblokir saat menghubungi customer service malah tidak bisa tersambung dengan alasan tidak ada suara,5,0,113,17,1,Negatif,0
pelayanan nya sangat buruk sekali saya sudah melakukan kali pengiriman kartu tetapi pasti di return terus dan alasan nya sangat tidak masuk akal mohon kerjasamanya mohon berikan pelayanan yang terbaik untuk para nasabah,1,0,219,33,1,Negatif,0
aplikasi tolol,1,0,14,2,1,Negatif,0
dikit update dikit update,1,0,25,4,1,Negatif,0
verifikasi e ktp tidak bisa lanjut,1,0,34,6,1,Netral,1
oopppss terjadi kesalahan silahkan coba lagi dari kemarin mau login aja susah bngt udh di coba berkali kali sma saja ga bisa,1,0,124,22,1,Negatif,0
oky,5,0,3,1,1,Positif,2
ngajuin pinjaman dari dalu sampai skrng tolak terus padahal tiap hari kita gunakan payah,4,0,88,14,1,Negatif,0
aplikasi lemot salah dikit di blokir,1,0,36,6,1,Negatif,0
tolong diperbaiki layanannya sy hrs login dr awal terus dan ga bs msk ke aplikasi nya,1,0,85,16,1,Netral,1
aplikasi gjls ribet vtrivikasi aja di ribetein sama mau teranper ribet pokonya,1,0,78,12,1,Negatif,0
mantap,5,0,6,1,1,Positif,2
simple dan mudah di pakai,5,0,25,5,1,Positif,2
aduhhh nyusahin bgt deh ni apk id pw udah bener salah trus udh di ss pdhl pw ny tp masa hrs reset lg dn ga gratis lgi hrs di update klo ga di up gbs dipke posisi lgi mu bayar heuhh keselnyaa,1,0,190,42,1,Negatif,0
kenapa sering bgt terjadi kesalahan waktu mau login padahal bca id pass sudah benar berkali kali kecewa bgt pake bca,1,0,116,20,1,Negatif,0
apa lah ini bca eror trus knpa si terjadi kesalahan melulu kecewa aja,1,0,69,13,1,Negatif,0
login ny lama,3,0,13,3,1,Negatif,0
sering logout mulu trs apk ini bug coba dong di perbaiki bca,2,0,60,12,1,Negatif,0
lbih gmpang,5,0,11,2,1,Positif,2
great experience,5,0,16,2,1,Positif,2
cara daftar ribet amat pakai vc pula,1,0,36,7,1,Negatif,0
setiap kali update aplikasi setingan biometriknya kembali reset untuk orang pelupa seperti saya agak sulit untuk mengingat semua password di banyak aplikasi tolong untuk kedepannya ketika update aplikasi setingnya jangan dirubah,3,3,228,31,1,Negatif,0
keren,5,0,5,1,1,Positif,2
saya tidak dapat masuk kedalam akun mybca saya pasword saya suka bener tapi aplikasi memiliki verifikasi wajah kemudian saya lakukan verifikasi wajah namun selalu gagal ini bagaimana cara mengatasi masalah saya,1,0,210,31,1,Negatif,0
ok,5,0,2,1,1,Negatif,0
saya kasih bintang satu karena utk login kembali pas verifikasi nomor hp kode negara indonesia tidak ada,1,0,104,17,1,Netral,1
benerin apknya login x ga lama logout terus mana kalo login lagi harus bayar lagi,1,0,81,15,1,Negatif,0
bagus,5,0,5,1,1,Positif,2
bos knp bca id saya di blokir,1,0,29,7,1,Netral,1
verifikasi wajah gagal trus tlong diperbaiki ya,1,0,47,7,1,Negatif,0
mau login input no hp tp ga ada region indonesianyaaaaaaa,3,0,57,10,1,Netral,1
thanks my bca semoga senantiasa memberikan kemudahan untuk pengguna sukses selalu,5,0,81,11,1,Positif,2
baru nyoba mybca setelah sekian lama pakai bca mobile dan puaas,5,0,63,11,1,Positif,2
pemotangan tidak jelas tidak ada keterangannya,1,0,46,6,1,Negatif,0
sangat baik sekali good tapi tolong dong paylater saya di aktifkan dong,5,0,71,12,1,Positif,2
baru juga buat rekening baru setor kena potong k apalah lo kira semua orang banyak duit padahal uang itu buat di kirim,1,0,118,22,1,Negatif,0
pokoknya bca top bangat kalau bisa di buat fitur pinjam biar kami nasabah bisa meminjam buat modal usaha,5,0,104,18,1,Positif,2
aplikasi ga jelas banyak masalahnya mau aktivasi ulang aja ribet banget nyusahin user doang,1,0,91,14,1,Negatif,0
oke banget,5,0,10,2,1,Positif,2
buat daftarkan email saja susah,1,0,31,5,1,Negatif,0
ok,5,0,2,1,1,Negatif,0
pertama kedua gampang masuknya ketiga dan seterusnya susah masuk bca id salah salah darimana nya pertama saya bikin bca id udah saya screenshot parahhhhh,1,0,153,24,1,Negatif,0
sangat membantu,5,0,15,2,1,Positif,2
apaan coba mau login doang tiba nomor telepon keblokir pdhl saldo masih ada trs jg masih dipake transaksi entah itu transfer atau tarik tunai gjls bgt,3,1,150,26,1,Negatif,0
bukanya lama betul updatenya parah,3,0,34,5,1,Negatif,0
kenapa hari ini saya tidak bisa trx lagi saya mau melakukan transfer dana tapi ketika lanjutkan selalu muncul opps terjadi kesalahan coba lagi,1,0,142,23,1,Negatif,0
very good,5,0,9,2,1,Positif,2
akhir ini sering error pas saya scan qris,4,0,41,8,1,Negatif,0
mantap is the best,5,0,18,4,1,Positif,2
otp telat terus habisin pulsa,2,0,29,5,1,Negatif,0
verifikasi sekarang susah bner ke verif nya padahal udah di tempat terang banget muka udah jelas masih aja gagal mlu heran ga kaya dulu makin update makin ribet banget,1,0,167,29,1,Negatif,0
parah sekali mau bayar qris malah nggak bisa login padahal jaringan oke stuck di kasir dan malu mana nggk bawa cash,1,0,115,21,1,Negatif,0
notifikasi tidak muncul,3,0,23,3,1,Positif,2
bintang dulu rencana mau buka tabungan bca udah ada no rekening mw masuk ke akun bca tidak bisa pulsa cukup tidak bisa menerima kode otp ujung y harus datang ke bank pelayanannya terlalu susah,1,0,192,34,1,Negatif,0
